#SampleID,read after dec,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration
2CH46A,20114,REP,A9,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH46A,NA,20.85
2CH47A,7983,REP,B9,Triatoma,sample,FALSE,Undetermined,field,Tlecticularia,L1_2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH47A,NA,19.951
2CH51G,24994,REP,D7,Triatoma,sample,P,Tc1,field,Tlecticularia,L5,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH51G,NA,40.858
2CH52G,2889,REP,F8,Triatoma,sample,P,Tc1,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH52G,NA,28.596
LC19i6A0,5241,1,G9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,male,no,0,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC19i6A0,45.33,20.945
LC20i6A0,10763,1,H9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,male,no,0,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC20i6A0,90.653,29.874
LC21i6A1,19419,1,A10,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC21i6A1,90.612,24.66
LC27i6A1,21744,1,G10,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC27i6A1,126.696,24.516
LC31i6A0,11655,1,B11,Triatoma,sample,P,TcMIX,field,Tprotracta,L6,L4_6,female,no,0,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC31i6A0,270.277,14.453
LC9i6A1,13916,1,A9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC9i6A1,413.874,38.789
TU31i6A2,24740,1,C4,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,2,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU31i6A2,110.388,47.642
TU52i6A3,12979,1,A6,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU52i6A3,94.998,18.394
TU53i6A0,17398,1,B6,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,no,0,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU53i6A0,483.938,29.828
