OTUs,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_5011,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Marine Methylotrophic Group 2,uncultured bacterium,
OTU_2374,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,uncultured organism
OTU_2219,Bacteria,Candidate division OP3,uncultured bacterium,,,,
OTU_4323,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,uncultured rumen bacterium
OTU_4581,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,
OTU_3024,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,
OTU_4565,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,
OTU_5275,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Phaeodactylum tricornutum,
OTU_3650,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Chlorokybus atmophyticus,
OTU_5385,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,LWSR-14,uncultured organism,
OTU_2982,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Orthotrichum rogeri,
OTU_120,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,
OTU_5339,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Juniperus virginiana,
